Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
12,01-01-2019 00:06,1.80043E+14,fraud_Lockman Ltd,grocery_pos,71.22,Charles,Robles,M,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",28-02-1989,c1d9a7ddb1e34639fe82758de97f4abf,1325376416,27.630593,-82.308891,0,33598
13,01-01-2019 00:07,5.55986E+15,fraud_Kiehn Inc,grocery_pos,96.29,Jack,Hill,M,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,21-12-1945,413636e759663f264aae1819a4d4f231,1325376447,41.65752,-122.230347,0,
14,01-01-2019 00:09,3.51487E+15,fraud_Beier-Hyatt,shopping_pos,7.77,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,30-08-1967,8a6293af5ed278dea14448ded2685fea,1325376543,32.863258,-106.520205,0,
15,01-01-2019 00:09,6.012E+15,fraud_Schmidt and Sons,shopping_net,3.26,Ronald,Carson,M,870 Rocha Drive,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",30-06-1965,baae0b096835c975857eea7e28dde3dc,1325376560,41.831174,-74.335559,0,12446
16,01-01-2019 00:10,6.01186E+15,fraud_Lebsack and Sons,misc_net,327,Lisa,Mendez,F,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",06-07-1952,991c04803b4d4eeab30d6245a872e3d3,1325376649,36.384092,-99.048472,0,73852
17,01-01-2019 00:10,3.56542E+15,fraud_Mayert Group,shopping_pos,341.67,Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,15-03-1938,f12cf52be2175703db789a4644c32f25,1325376658,38.674491,-88.305767,0,62824
18,01-01-2019 00:11,2.34825E+15,"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,Justin,Gay,M,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,02-02-1946,8500f3d459047eac8443307b1e8296e5,1325376674,41.430274,-79.492553,0,16364
19,01-01-2019 00:12,4.95683E+18,"fraud_Schultz, Simonis and Little",grocery_pos,44.71,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,21-12-1980,09eff9c806365e2a6be12c1bbab3d70e,1325376754,40.079588,-74.848087,0,8016
20,01-01-2019 00:13,4.46978E+18,fraud_Bauch-Raynor,grocery_pos,57.34,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,22-11-1980,139a1bee15be607d79fe173bfcb2502a,1325376788,42.26876,-71.217297,0,2492
21,01-01-2019 00:14,2.30534E+15,fraud_Harris Inc,gas_transport,50.79,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,14-02-1961,b9c4615bec3561c8e83b0c1d6c7028e2,1325376877,40.18893,-91.955115,0,63446
22,01-01-2019 00:17,1.80048E+14,fraud_Kling-Grant,grocery_net,46.28,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,19-07-1974,19e23c6a300c774354417befe4f31f8c,1325377036,40.021888,-74.228188,0,8755
23,01-01-2019 00:17,6.30442E+11,fraud_Pacocha-Bauch,shopping_pos,9.55,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,26-07-1965,c4b4daebab8be54cadde4b941244ca53,1325377060,31.62635,-98.610225,0,76870
24,01-01-2019 00:18,4.42878E+18,fraud_Lesch Ltd,shopping_pos,22.95,Richard,Waters,M,7683 Natasha Way Apt. 945,Waukesha,WI,53186,42.9993,-88.2196,95015,"Therapist, occupational",02-01-1946,d2432bfeabf142dc1bae1d426e32aecc,1325377086,43.375041,-89.055065,0,53932
25,01-01-2019 00:18,3.43464E+14,fraud_Kunde-Sanford,misc_net,2.55,Jodi,Foster,F,551 Zachary Freeway,Bailey,NC,27807,35.8072,-78.0892,6629,Call centre manager,13-08-1962,abe0676c18f34fa305b113fa762e29b5,1325377087,36.74987,-78.67787,0,23964
26,01-01-2019 00:20,3.7493E+14,fraud_Deckow-O'Conner,grocery_pos,64.09,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,05-11-1971,6f363661ba6b55889e488dd178f2a0af,1325377215,42.360426,-83.552316,0,48168
27,01-01-2019 00:21,4.33423E+15,fraud_Bruen-Yost,misc_pos,6.85,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",02-08-1967,f3c43d336e92a44fc2fb67058d5949e3,1325377292,43.753735,-111.454923,0,83436
28,01-01-2019 00:22,4.22599E+18,fraud_Kunze Inc,grocery_pos,90.22,Brian,Simpson,M,2711 Duran Pines,Honokaa,HI,96727,20.0827,-155.488,4878,Physiotherapist,03-12-1966,95826e3caa9e0b905294c6dae985aec1,1325377326,19.560013,-156.045889,0,96740
29,01-01-2019 00:22,4.26006E+15,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,4.02,Aaron,Rogers,M,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,15-03-1945,20490f3f0966ce74b4aaba8dc2c4ed52,1325377338,42.47559,-101.265846,0,
30,01-01-2019 00:22,1.80095E+14,"fraud_Kihn, Abernathy and Douglas",shopping_net,3.66,Tammie,Harper,F,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597,Forensic psychologist,19-05-1961,870c92b288a974a2faf1f24b05c27e33,1325377356,44.278191,-121.815161,0,
31,01-01-2019 00:22,4.59974E+18,"fraud_Heller, Gutmann and Zieme",grocery_pos,82.8,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,30-12-1964,cb598ec00d349dc95e7b3c18de5ae800,1325377359,36.294205,-89.811282,0,63879
32,01-01-2019 00:22,6.30413E+11,fraud_Torphy-Goyette,shopping_pos,66.21,Heather,Stanton,F,445 Jerry Lights Apt. 081,Republic,MI,49879,46.368,-87.9938,1038,Armed forces training and education officer,22-04-1964,20f048d3907dbb9978e23bee7b7578ce,1325377364,46.412038,-88.516663,0,49919
